Semester End Examinations Schedule (Spring Semester-2024),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Faculty of Science and Technology,,,,,,
Exam Date,Bachelor of Civil Engineering ,,Bachelor of Civil Engineering for Diploma Holders,,Bachelor of Civil and Rural Engineering ,
,Course ,Sem,Course ,Sem,Course ,Sem
2024-08-16 00:00:00,Algebra and Geometry,II,Algebra and Geometry,III,Algebra and Geometry,II
2024-08-17 00:00:00,Calculus II,III,Calculus II,IV,Calculus II,III
2024-08-18 00:00:00,Calculus I,I,Calculus I,II,Calculus I,I
2024-08-19 00:00:00,Soil Mechanics (New),IV,Basic Engineering Chemistry (New),I,Soil Mechanics (New),IV
2024-08-20 00:00:00,,,,,,
2024-08-21 00:00:00,Civil Engineering Materials (New),II,Civil Engineering Materials (New),III,Civil Engineering Materials (New),I
2024-08-22 00:00:00,Surveying I (New),III,Basic Engineering Physics,I,Surveying I (New),III
2024-08-23 00:00:00,Applied Chemistry,I,Applied Chemistry ,II,Applied Chemistry,II
2024-08-24 00:00:00,Surveying II (New),IV,Basic Engineering Mathematics (New),I,Surveying II (New),IV
2024-08-25 00:00:00,Fluid Mechanics (New),III,Fluid Mechanics (New),III,Fluid Mechanics (New),III
2024-08-26 00:00:00,Basic Electrical and Electronics Engineering,II,Basic Electrical and Electronics Engineering ,IV,Basic Electrical and Electronics Engineering,I
2024-08-27 00:00:00,,,,,,
2024-08-28 00:00:00,Engineering Economics (New),IV,Surveying,III,Engineering Economics (New),IV
2024-08-29 00:00:00,Computer Programming,I,Computer Programming ,II,Computer Programming,I
2024-08-30 00:00:00,Engineering Geology (New),II,Engineering Geology (New),III,Engineering Geology (New),III
2024-08-31 00:00:00,Building Technology (New),III,Building Technology (New),III,Building Technology (New),II
2024-09-01 00:00:00,Hydraulics (New),IV,Hydraulics (New),IV,Hydraulics (New),IV
2024-09-02 00:00:00,Numerical Methods (New),III,Basic of Computer and Programming (New),I,Statistics and Numerical Method,III
2024-09-03 00:00:00,Introduction to Energy Engineering,II,,,Introduction to Energy Engineering,I
2024-09-04 00:00:00,Applied Physics,I,Applied Physics,II,Applied Physics,II
2024-09-05 00:00:00,Structural Analysis I  (New),IV,,,Structural Analysis I (New),IV
2024-09-06 00:00:00,,,,,,
2024-09-07 00:00:00,Strength of Materials (New),III,Strength of Materials (New),IV,Strength of Materials (New),III
2024-09-08 00:00:00,,,,,,
2024-09-09 00:00:00,Applied Mechanics,II,Applied Mechanics ,II,Applied Mechanics,II
2024-09-10 00:00:00,,,,,,
2024-09-11 00:00:00,Communication Techniques (New),I,Communication Techniques (New),I,Communication Techniques (New),I
2024-09-12 00:00:00,Probability and Statistics (New),IV,Probability and Statistics (New),IV,Rural Infrastructure Engineering,IV
2024-09-13 00:00:00,Engineering Drawing (New),I,,,Engineering Drawing (New),II
Note:,,,,,,
1,All exams will start at 11:00 a.m.,,,,,
2,"Due date to submit examination form at college: July 15, 2024",,,,,
3,"All the colleges should submit examination forms physically at the Office of the Controller of Examinations, Pokhara-30, Kaski: July 22, 2024.",,,,,
4,"Due date to submit internal marks: July 30, 2024",,,,,
